Entity,Code,Year,wat_sm_number_without
Central African Republic,CAF,2016,4238557.43341541
Central African Republic,CAF,2017,4297835.849136206
Central African Republic,CAF,2018,4368417.296153793
Central African Republic,CAF,2019,4447005.8537906045
Central African Republic,CAF,2020,4531124.472277012
Central and Southern Asia,,2000,815508374.1457866
Central and Southern Asia,,2001,818646134.3894304
Central and Southern Asia,,2002,820922001.443154
Central and Southern Asia,,2003,822708685.722009
Central and Southern Asia,,2004,823891387.7007681
Central and Southern Asia,,2005,824978761.2460742
Central and Southern Asia,,2006,825300723.5595671
Central and Southern Asia,,2007,824934907.850647
Central and Southern Asia,,2008,823975586.5612764
Central and Southern Asia,,2009,822343566.6163713
Central and Southern Asia,,2010,820176389.3254589
Central and Southern Asia,,2011,817579539.2538697
Central and Southern Asia,,2012,812898060.6602551
Central and Southern Asia,,2013,807856120.9761652
Central and Southern Asia,,2014,802295932.7102792
Central and Southern Asia,,2015,796255080.6587577
Central and Southern Asia,,2016,789750310.899308
Central and Southern Asia,,2017,782881655.5865303
Central and Southern Asia,,2018,775928422.1246822
Central and Southern Asia,,2019,767347028.0018938
Central and Southern Asia,,2020,758434406.7269342
Chad,TCD,2000,7884175.521121106
Chad,TCD,2001,8188388.054062286
Chad,TCD,2002,8510448.416876804
Chad,TCD,2003,8845374.458111323
Chad,TCD,2004,9186254.506007228
Chad,TCD,2005,9528253.277815126
Chad,TCD,2006,9869120.844553865
Chad,TCD,2007,10210549.408187157
Chad,TCD,2008,10556574.13521834
Chad,TCD,2009,10913187.845997233
Chad,TCD,2010,11284312.178608604
Chad,TCD,2011,11671266.851095406
Chad,TCD,2012,12072166.887418196
Chad,TCD,2013,12484180.101443574
Chad,TCD,2014,12903045.031240068
Chad,TCD,2015,13325717.940552969
Chad,TCD,2016,13751211.525599457
Chad,TCD,2017,14180555.234736746
Chad,TCD,2018,14615046.557475632
Chad,TCD,2019,15056852.928682446
Chad,TCD,2020,15507410.772269223
Channel Islands,OWID_CIS,2009,12694.50646912501
Channel Islands,OWID_CIS,2010,12817.36968457501
Channel Islands,OWID_CIS,2011,12919.447941375009
Channel Islands,OWID_CIS,2012,13004.59234072501
Channel Islands,OWID_CIS,2013,13083.879870375009
Channel Islands,OWID_CIS,2014,13169.58631665001
Channel Islands,OWID_CIS,2015,13272.306220350012
Channel Islands,OWID_CIS,2016,13395.49026727501
Channel Islands,OWID_CIS,2017,13535.446532100008
Chile,CHL,2000,1213115.8631429197
Chile,CHL,2001,1149137.160755287
Chile,CHL,2002,1086830.3314941223
Chile,CHL,2003,1034003.0767988734
Chile,CHL,2004,979383.3320280819
Chile,CHL,2005,923264.4245858213
Chile,CHL,2006,865538.4917831523
Chile,CHL,2007,806246.2783199196
Chile,CHL,2008,745173.8472684361
Chile,CHL,2009,682277.988921557
Chile,CHL,2010,617497.6128209379
Chile,CHL,2011,550656.4281758375
Chile,CHL,2012,481919.7513360447
Chile,CHL,2013,411507.36475701677
Chile,CHL,2014,339593.635188226
Chile,CHL,2015,290659.1027788689
Chile,CHL,2016,258999.64013755723
Chile,CHL,2017,227141.98204359098
Chile,CHL,2018,230113.3867235655
Chile,CHL,2019,232851.8735306604
Chile,CHL,2020,234868.48581518687
Colombia,COL,2000,12360354.245857647
Colombia,COL,2001,12413956.83096081
Colombia,COL,2002,12462716.54038193
Colombia,COL,2003,12505466.455293858
Colombia,COL,2004,12540923.01928901
Colombia,COL,2005,12568172.811841412
Colombia,COL,2006,12587973.317800818
Colombia,COL,2007,12655896.50778566
Colombia,COL,2008,12718649.144965589
Colombia,COL,2009,12775485.383694226
Colombia,COL,2010,12826778.434089221
Colombia,COL,2011,12869842.603609556
Colombia,COL,2012,12906242.494380618
Colombia,COL,2013,12945795.945427084
Colombia,COL,2014,13001142.165985344
Colombia,COL,2015,13079668.358479187
Colombia,COL,2016,13186709.369432805
Colombia,COL,2017,13328591.878189264
Colombia,COL,2018,13463531.671625452
Colombia,COL,2019,13615882.854593812
Colombia,COL,2020,13733617.537387902
Congo,COG,2000,2269809.723316863
Congo,COG,2001,2330325.578789103
Congo,COG,2002,2390693.749833782
Congo,COG,2003,2453646.1602887963
Congo,COG,2004,2472198.1734753586
Congo,COG,2005,2492641.2411923795
Congo,COG,2006,2515363.168282404
Congo,COG,2007,2538833.210975673
Congo,COG,2008,2559813.2511217813
Congo,COG,2009,2574372.2273457553
Congo,COG,2010,2579993.749268244
Congo,COG,2011,2575952.953152717
Congo,COG,2012,2596584.309017248
Congo,COG,2013,2634359.2815699712
Congo,COG,2014,2671718.3212546785
Congo,COG,2015,2710472.263403315
Congo,COG,2016,2751022.5295651816
Congo,COG,2017,2792752.2058066805
Congo,COG,2018,2856308.6664228057
Congo,COG,2019,2920727.581096775
Congo,COG,2020,2985458.917811347
Costa Rica,CRI,2000,939539.3363435708
Costa Rica,CRI,2001,941665.2175490557
Costa Rica,CRI,2002,942804.0727721517
Costa Rica,CRI,2003,943289.9147516697
Costa Rica,CRI,2004,943564.6071738885
Costa Rica,CRI,2005,943956.8934885967
Costa Rica,CRI,2006,944547.6536368307
Costa Rica,CRI,2007,945299.6678010091
Costa Rica,CRI,2008,946226.1700155846
Costa Rica,CRI,2009,947318.4837854769
Costa Rica,CRI,2010,948553.40669832
Costa Rica,CRI,2011,949962.6687390314
Costa Rica,CRI,2012,951600.9462430199
Costa Rica,CRI,2013,953450.9565118768
Costa Rica,CRI,2014,955491.3321308962
Costa Rica,CRI,2015,957694.8205652267
Costa Rica,CRI,2016,960039.1899711092
Costa Rica,CRI,2017,963717.0272725888
Costa Rica,CRI,2018,973611.9904156482
Costa Rica,CRI,2019,983230.4470805218
Costa Rica,CRI,2020,992534.739845087
Cote d'Ivoire,CIV,2000,10825494.657626385
Cote d'Ivoire,CIV,2001,11080188.850596538
Cote d'Ivoire,CIV,2002,11321349.926609406
Cote d'Ivoire,CIV,2003,11555248.646093924
